Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,A_xG,A_xGA,A_xGD,A_xGD/90,HomeWinRate,AwayWinRate,HomeGoalsPerMatch,AwayGoalsPerMatch,HomeGoalsConcededPerMatch,AwayGoalsConcededPerMatch,HomePointsPerMatch,AwayPointsPerMatch,TotalMP,TotalW,TotalD,TotalL,TotalGF,TotalGA,TotalGD,TotalPts,OverallWinRate,OverallGoalsPerMatch,OverallGoalsConcededPerMatch,OverallPointsPerMatch,HomeAwayWinRateDiff,HomeAwayGoalsScoredDiff,HomeAwayGoalsConcededDiff,HomeAwayPointsDiff,Poss,PrgC,PrgP,Sh,SoT,SoT%,Succ,Touches,Att 3rd,Att Pen,Live
2018-2019,1,Manchester City,19,18,0,1,57,12,45,54,2.84,50.1,13.5,36.6,1.93,19,14,2,3,38,11,27,44,2.32,34.2,11.3,23.0,1.21,0.9473684210526315,0.7368421052631579,3.0,2.0,0.631578947368421,0.5789473684210527,2.8421052631578947,2.3157894736842106,38,32,2,4,95,23,72,98,0.8421052631578947,2.5,0.6052631578947368,2.5789473684210527,0.21052631578947367,1.0,0.05263157894736836,0.5263157894736841,67.9,1325,2429,679,252,37.1,437,32238,9800,1458,32234
2018-2019,2,Liverpool,19,17,2,0,55,10,45,53,2.79,42.2,13.2,28.9,1.52,19,13,5,1,34,12,22,44,2.32,31.6,15.6,16.0,0.84,0.8947368421052632,0.6842105263157895,2.8947368421052633,1.7894736842105263,0.5263157894736842,0.631578947368421,2.789473684210526,2.3157894736842106,38,30,7,1,89,22,67,97,0.7894736842105263,2.3421052631578947,0.5789473684210527,2.5526315789473686,0.21052631578947367,1.105263157894737,-0.10526315789473684,0.4736842105263155,61.8,857,2008,568,211,37.1,356,29528,7500,1124,29521
2018-2019,3,Chelsea,19,12,6,1,39,12,27,42,2.21,31.0,14.4,16.6,0.87,19,9,3,7,24,27,-3,30,1.58,27.6,22.0,5.6,0.29,0.631578947368421,0.47368421052631576,2.0526315789473686,1.263157894736842,0.631578947368421,1.4210526315789473,2.210526315789474,1.5789473684210527,38,21,9,8,63,39,24,72,0.5526315789473685,1.6578947368421053,1.0263157894736843,1.894736842105263,0.15789473684210525,0.7894736842105265,-0.7894736842105263,0.6315789473684212,62.9,1058,2155,602,192,31.9,449,30774,8968,1029,30769
2018-2019,4,Tottenham,19,12,2,5,34,16,18,38,2.0,31.3,24.3,6.9,0.36,19,11,0,8,33,23,10,33,1.74,23.6,22.8,0.8,0.04,0.631578947368421,0.5789473684210527,1.7894736842105263,1.736842105263158,0.8421052631578947,1.2105263157894737,2.0,1.736842105263158,38,23,2,13,67,39,28,71,0.6052631578947368,1.763157894736842,1.0263157894736843,1.868421052631579,0.05263157894736836,0.05263157894736836,-0.368421052631579,0.26315789473684204,59.0,840,1744,533,182,34.1,370,27311,6402,884,27307
2018-2019,5,Arsenal,19,14,3,2,42,16,26,45,2.37,34.6,23.5,11.0,0.58,19,7,4,8,31,35,-4,25,1.32,25.5,30.7,-5.2,-0.27,0.7368421052631579,0.3684210526315789,2.210526315789474,1.631578947368421,0.8421052631578947,1.8421052631578947,2.3684210526315788,1.3157894736842106,38,21,7,10,73,51,22,70,0.5526315789473685,1.9210526315789473,1.3421052631578947,1.8421052631578947,0.3684210526315789,0.5789473684210529,-1.0,1.0526315789473681,58.1,868,1874,462,159,34.4,304,26670,6492,984,26665
2018-2019,6,Manchester Utd,19,10,6,3,33,25,8,36,1.89,31.8,21.6,10.2,0.54,19,9,3,7,32,29,3,30,1.58,29.7,29.0,0.6,0.03,0.5263157894736842,0.47368421052631576,1.736842105263158,1.6842105263157894,1.3157894736842106,1.5263157894736843,1.894736842105263,1.5789473684210527,38,19,9,10,65,54,11,66,0.5,1.7105263157894737,1.4210526315789473,1.736842105263158,0.05263157894736842,0.052631578947368585,-0.21052631578947367,0.3157894736842104,54.7,801,1668,514,210,40.9,321,25095,5992,893,25083
2018-2019,7,Wolves,19,10,4,5,28,21,7,34,1.79,31.3,18.9,12.4,0.65,19,6,5,8,19,25,-6,23,1.21,20.9,23.2,-2.3,-0.12,0.5263157894736842,0.3157894736842105,1.4736842105263157,1.0,1.105263157894737,1.3157894736842106,1.7894736842105263,1.2105263157894737,38,16,9,13,47,46,1,57,0.42105263157894735,1.236842105263158,1.2105263157894737,1.5,0.21052631578947367,0.4736842105263157,-0.21052631578947367,0.5789473684210527,46.8,743,1350,473,144,30.4,331,22684,5061,705,22680
2018-2019,8,Everton,19,10,4,5,30,21,9,34,1.79,28.0,21.7,6.2,0.33,19,5,5,9,24,25,-1,20,1.05,21.7,24.0,-2.3,-0.12,0.5263157894736842,0.2631578947368421,1.5789473684210527,1.263157894736842,1.105263157894737,1.3157894736842106,1.7894736842105263,1.0526315789473684,38,15,9,14,54,46,8,54,0.39473684210526316,1.4210526315789473,1.2105263157894737,1.4210526315789473,0.2631578947368421,0.3157894736842106,-0.21052631578947367,0.736842105263158,51.5,697,1581,493,163,33.1,328,23015,5873,856,23011
2018-2019,9,Leicester City,19,8,3,8,24,20,4,27,1.42,26.3,19.9,6.5,0.34,19,7,4,8,27,28,-1,25,1.32,26.1,23.8,2.3,0.12,0.42105263157894735,0.3684210526315789,1.263157894736842,1.4210526315789473,1.0526315789473684,1.4736842105263157,1.4210526315789473,1.3157894736842106,38,15,7,16,51,48,3,52,0.39473684210526316,1.3421052631578947,1.263157894736842,1.368421052631579,0.05263157894736842,-0.1578947368421053,-0.42105263157894735,0.10526315789473673,50.9,752,1537,508,173,34.1,392,23657,5824,804,23650
2018-2019,10,West Ham,19,9,4,6,32,27,5,31,1.63,25.2,23.3,1.9,0.1,19,6,3,10,20,28,-8,21,1.11,22.5,38.6,-16.2,-0.85,0.47368421052631576,0.3157894736842105,1.6842105263157894,1.0526315789473684,1.4210526315789473,1.4736842105263157,1.631578947368421,1.105263157894737,38,15,7,16,52,55,-3,52,0.39473684210526316,1.368421052631579,1.4473684210526316,1.368421052631579,0.15789473684210525,0.631578947368421,-0.05263157894736836,0.5263157894736841,48.6,731,1478,436,149,34.2,389,22541,5350,782,22536
2018-2019,11,Watford,19,8,3,8,26,28,-2,27,1.42,23.1,29.2,-6.2,-0.32,19,6,5,8,26,31,-5,23,1.21,25.2,30.0,-4.8,-0.25,0.42105263157894735,0.3157894736842105,1.368421052631579,1.368421052631579,1.4736842105263157,1.631578947368421,1.4210526315789473,1.2105263157894737,38,14,8,16,52,59,-7,50,0.3684210526315789,1.368421052631579,1.5526315789473684,1.3157894736842106,0.10526315789473684,0.0,-0.1578947368421053,0.21052631578947367,46.7,588,1294,436,148,33.9,292,21508,5303,845,21507
2018-2019,12,Crystal Palace,19,5,5,9,19,23,-4,20,1.05,28.1,23.5,4.7,0.25,19,9,2,8,32,30,2,29,1.53,19.5,26.6,-7.2,-0.38,0.2631578947368421,0.47368421052631576,1.0,1.6842105263157894,1.2105263157894737,1.5789473684210527,1.0526315789473684,1.5263157894736843,38,14,7,17,51,53,-2,49,0.3684210526315789,1.3421052631578947,1.394736842105263,1.2894736842105263,-0.21052631578947367,-0.6842105263157894,-0.368421052631579,-0.47368421052631593,45.2,771,1458,482,135,28.0,377,21679,5112,889,21668
2018-2019,13,Newcastle Utd,19,8,1,10,24,25,-1,25,1.32,22.6,25.2,-2.6,-0.14,19,4,8,7,18,23,-5,20,1.05,16.5,28.3,-11.9,-0.62,0.42105263157894735,0.21052631578947367,1.263157894736842,0.9473684210526315,1.3157894736842106,1.2105263157894737,1.3157894736842106,1.0526315789473684,38,12,9,17,42,48,-6,45,0.3157894736842105,1.105263157894737,1.263157894736842,1.1842105263157894,0.21052631578947367,0.3157894736842105,0.10526315789473695,0.26315789473684226,40.4,467,985,443,136,30.7,236,20048,4458,641,20045
2018-2019,14,Bournemouth,19,8,5,6,30,25,5,29,1.53,27.7,25.2,2.5,0.13,19,5,1,13,26,45,-19,16,0.84,25.6,32.0,-6.4,-0.34,0.42105263157894735,0.2631578947368421,1.5789473684210527,1.368421052631579,1.3157894736842106,2.3684210526315788,1.5263157894736843,0.8421052631578947,38,13,6,19,56,70,-14,45,0.34210526315789475,1.4736842105263157,1.8421052631578947,1.1842105263157894,0.15789473684210525,0.21052631578947367,-1.0526315789473681,0.6842105263157896,46.9,738,1435,437,153,35.0,291,22079,5257,847,22071
2018-2019,15,Burnley,19,7,2,10,24,32,-8,23,1.21,25.6,26.3,-0.8,-0.04,19,4,5,10,21,36,-15,17,0.89,18.8,35.7,-16.9,-0.89,0.3684210526315789,0.21052631578947367,1.263157894736842,1.105263157894737,1.6842105263157894,1.894736842105263,1.2105263157894737,0.8947368421052632,38,11,7,20,45,68,-23,40,0.2894736842105263,1.1842105263157894,1.7894736842105263,1.0526315789473684,0.15789473684210525,0.1578947368421051,-0.21052631578947367,0.3157894736842105,41.2,421,1032,358,112,31.3,207,19189,4395,634,19186
2018-2019,16,Southampton,19,5,8,6,27,30,-3,23,1.21,24.6,25.0,-0.4,-0.02,19,4,4,11,18,35,-17,16,0.84,22.3,30.1,-7.8,-0.41,0.2631578947368421,0.21052631578947367,1.4210526315789473,0.9473684210526315,1.5789473684210527,1.8421052631578947,1.2105263157894737,0.8421052631578947,38,9,12,17,45,65,-20,39,0.23684210526315788,1.1842105263157894,1.7105263157894737,1.0263157894736843,0.05263157894736842,0.4736842105263158,-0.26315789473684204,0.368421052631579,43.4,603,1333,479,155,32.4,287,20812,5087,709,20807
2018-2019,17,Brighton,19,6,5,8,19,28,-9,23,1.21,19.9,24.0,-4.1,-0.22,19,3,4,12,16,32,-16,13,0.68,15.4,35.1,-19.7,-1.04,0.3157894736842105,0.15789473684210525,1.0,0.8421052631578947,1.4736842105263157,1.6842105263157894,1.2105263157894737,0.6842105263157895,38,9,9,20,35,60,-25,36,0.23684210526315788,0.9210526315789473,1.5789473684210527,0.9473684210526315,0.15789473684210525,0.1578947368421053,-0.21052631578947367,0.5263157894736842,42.4,475,1150,364,99,27.2,269,20254,4366,581,20249
2018-2019,18,Cardiff City,19,6,2,11,21,38,-17,20,1.05,24.6,25.5,-1.0,-0.05,19,4,2,13,13,31,-18,14,0.74,17.8,35.9,-18.2,-0.96,0.3157894736842105,0.21052631578947367,1.105263157894737,0.6842105263157895,2.0,1.631578947368421,1.0526315789473684,0.7368421052631579,38,10,4,24,34,69,-35,34,0.2631578947368421,0.8947368421052632,1.8157894736842106,0.8947368421052632,0.10526315789473684,0.42105263157894746,0.368421052631579,0.3157894736842105,35.4,434,918,413,113,27.4,260,16261,4470,713,16257
2018-2019,19,Fulham,19,6,3,10,22,36,-14,21,1.11,24.0,27.8,-3.7,-0.2,19,1,2,16,12,45,-33,5,0.26,17.3,40.4,-23.1,-1.22,0.3157894736842105,0.05263157894736842,1.1578947368421053,0.631578947368421,1.894736842105263,2.3684210526315788,1.105263157894737,0.2631578947368421,38,7,5,26,34,81,-47,26,0.18421052631578946,0.8947368421052632,2.1315789473684212,0.6842105263157895,0.2631578947368421,0.5263157894736843,-0.4736842105263157,0.8421052631578949,48.8,628,1487,451,140,31.0,352,23757,4743,592,23754
2018-2019,20,Huddersfield,19,2,3,14,10,31,-21,9,0.47,16.2,28.0,-11.8,-0.62,19,1,4,14,12,45,-33,7,0.37,12.6,32.9,-20.3,-1.07,0.10526315789473684,0.05263157894736842,0.5263157894736842,0.631578947368421,1.631578947368421,2.3684210526315788,0.47368421052631576,0.3684210526315789,38,3,7,28,22,76,-54,16,0.07894736842105263,0.5789473684210527,2.0,0.42105263157894735,0.05263157894736842,-0.10526315789473684,-0.7368421052631577,0.10526315789473684,47.2,601,1248,400,116,29.0,230,21977,5306,600,21976
2019-2020,1,Liverpool,19,18,1,0,52,16,36,55,2.89,39.1,16.9,22.1,1.16,19,14,2,3,33,17,16,44,2.32,29.8,20.8,9.0,0.47,0.9473684210526315,0.7368421052631579,2.736842105263158,1.736842105263158,0.8421052631578947,0.8947368421052632,2.8947368421052633,2.3157894736842106,38,32,3,3,85,33,52,99,0.8421052631578947,2.236842105263158,0.868421052631579,2.6052631578947367,0.21052631578947367,1.0,-0.052631578947368474,0.5789473684210527,62.9,967,1941,586,224,38.2,387,29749,7909,1193,29744
2019-2020,2,Manchester City,19,15,2,2,57,13,44,47,2.47,45.7,14.4,31.3,1.65,19,11,1,7,45,22,23,34,1.79,46.2,21.8,24.5,1.29,0.7894736842105263,0.5789473684210527,3.0,2.3684210526315788,0.6842105263157895,1.1578947368421053,2.473684210526316,1.7894736842105263,38,26,3,9,102,35,67,81,0.6842105263157895,2.6842105263157894,0.9210526315789473,2.1315789473684212,0.21052631578947367,0.6315789473684212,-0.4736842105263158,0.6842105263157896,66.2,1199,2460,735,250,34.0,487,31884,9720,1473,31873
2019-2020,3,Manchester Utd,19,10,7,2,40,17,23,37,1.95,33.7,18.0,15.7,0.82,19,8,5,6,26,19,7,29,1.53,28.5,19.7,8.8,0.46,0.5263157894736842,0.42105263157894735,2.1052631578947367,1.368421052631579,0.8947368421052632,1.0,1.9473684210526316,1.5263157894736843,38,18,12,8,66,36,30,66,0.47368421052631576,1.736842105263158,0.9473684210526315,1.736842105263158,0.10526315789473684,0.7368421052631577,-0.10526315789473684,0.42105263157894735,55.8,926,1788,530,201,37.9,446,25838,6993,878,25824
2019-2020,4,Chelsea,19,11,3,5,30,16,14,36,1.89,40.4,11.9,28.5,1.5,19,9,3,7,39,38,1,30,1.58,28.8,26.7,2.1,0.11,0.5789473684210527,0.47368421052631576,1.5789473684210527,2.0526315789473686,0.8421052631578947,2.0,1.894736842105263,1.5789473684210527,38,20,6,12,69,54,15,66,0.5263157894736842,1.8157894736842106,1.4210526315789473,1.736842105263158,0.10526315789473689,-0.47368421052631593,-1.1578947368421053,0.3157894736842104,60.4,983,1897,618,210,34.0,460,29489,7423,1063,29482
2019-2020,5,Leicester City,19,11,4,4,35,17,18,37,1.95,28.4,21.9,6.5,0.34,19,7,4,8,32,24,8,25,1.32,33.8,23.6,10.2,0.54,0.5789473684210527,0.3684210526315789,1.8421052631578947,1.6842105263157894,0.8947368421052632,1.263157894736842,1.9473684210526316,1.3157894736842106,38,18,8,12,67,41,26,62,0.47368421052631576,1.763157894736842,1.0789473684210527,1.631578947368421,0.21052631578947373,0.1578947368421053,-0.36842105263157887,0.631578947368421,57.1,739,1612,533,183,34.3,377,26247,6415,925,26240
2019-2020,6,Tottenham,19,12,3,4,36,17,19,39,2.05,25.6,22.9,2.7,0.14,19,4,8,7,25,30,-5,20,1.05,22.3,31.3,-9.0,-0.47,0.631578947368421,0.21052631578947367,1.894736842105263,1.3157894736842106,0.8947368421052632,1.5789473684210527,2.0526315789473686,1.0526315789473684,38,16,11,11,61,47,14,59,0.42105263157894735,1.605263157894737,1.236842105263158,1.5526315789473684,0.42105263157894735,0.5789473684210524,-0.6842105263157895,1.0000000000000002,52.0,768,1410,440,154,35.0,449,24729,5549,710,24725
2019-2020,7,Wolves,19,8,7,4,27,19,8,31,1.63,29.5,18.1,11.5,0.6,19,7,7,5,24,21,3,28,1.47,24.6,19.9,4.7,0.24,0.42105263157894735,0.3684210526315789,1.4210526315789473,1.263157894736842,1.0,1.105263157894737,1.631578947368421,1.4736842105263157,38,15,14,9,51,40,11,59,0.39473684210526316,1.3421052631578947,1.0526315789473684,1.5526315789473684,0.05263157894736842,0.1578947368421053,-0.10526315789473695,0.1578947368421053,48.3,858,1338,457,142,31.1,509,22660,5105,779,22656
